#          y                        Ulam                     a_xx                    a_xy
-9.368034417359215604e-01 1.448232628927208221e-01 3.337916294043613561e+03 4.084676421727684215e+01
-9.357256894810802583e-01 1.472083773396922202e-01 3.334788209294416447e+03 4.082761448636459534e+01
-9.346391298196807806e-01 1.496101087238406180e-01 3.331633405879027123e+03 4.080829208554941090e+01
-9.335437729788361727e-01 1.520283643574836530e-01 3.328451883589147201e+03 4.078879676816387700e+01
-9.324396292684623555e-01 1.544630509148612052e-01 3.325243642186183479e+03 4.076912828468488215e+01
-9.313267090811804261e-01 1.569140744357331585e-01 3.322008681400298428e+03 4.074928638271043013e+01
-9.302050228922190689e-01 1.593813403290010033e-01 3.318747000929723526e+03 4.072927080693764168e+01
-9.290745812593157460e-01 1.618647533763540036e-01 3.315458600439887050e+03 4.070908129913942730e+01
-9.279353948226177762e-01 1.643642177359392609e-01 3.312143479562564153e+03 4.068871759814115308e+01
-9.267874743045817487e-01 1.668796369460577300e-01 3.308801637895061958e+03 4.066817943979704353e+01
-9.256308305098727152e-01 1.694109139288815236e-01 3.305433074999337805e+03 4.064746655696602318e+01
-9.244654743252626039e-01 1.719579509941988882e-01 3.302037790401148868e+03 4.062657867948733781e+01
-9.232914167195276356e-01 1.745206498431794151e-01 3.298615783589200419e+03 4.060551553415619708e+01
-9.221086687433450724e-01 1.770989115721651741e-01 3.295167054014210862e+03 4.058427684469822339e+01
-9.209172415291894120e-01 1.796926366764837746e-01 3.291691601087991330e+03 4.056286233174375866e+01
-9.197171462912273610e-01 1.823017250542882106e-01 3.288189424182652147e+03 4.054127171280305930e+01
-9.185083943252121408e-01 1.849260760104148305e-01 3.284660522629527350e+03 4.051950470223894030e+01
-9.172909970083779063e-01 1.875655882602692281e-01 3.281104895718363423e+03 4.049756101124092567e+01
-9.160649657993316097e-01 1.902201599337316196e-01 3.277522542696299297e+03 4.047544034779796362e+01
-9.148303122379460861e-01 1.928896885790880589e-01 3.273913462766934117e+03 4.045314241667100674e+01
-9.135870479452508075e-01 1.955740711669813892e-01 3.270277655089364089e+03 4.043066691936558499e+01
-9.123351846233227480e-01 1.982732040943873675e-01 3.266615118777219323e+03 4.040801355410347639e+01
-9.110747340551762496e-01 2.009869831886114122e-01 3.262925852897601999e+03 4.038518201579388744e+01
-9.098057081046522221e-01 2.037153037113086929e-01 3.259209856470125942e+03 4.036217199600466898e+01
-9.085281187163061212e-01 2.064580603625252309e-01 3.255467128465904807e+03 4.033898318293301344e+01
-9.072419779152958164e-01 2.092151472847622595e-01 3.251697667806534810e+03 4.031561526137566887e+01
-9.059472978072684590e-01 2.119864580670611787e-01 3.247901473362976958e+03 4.029206791269825771e+01
-9.046440905782461295e-01 2.147718857491118238e-01 3.244078543954547513e+03 4.026834081480478744e+01
-9.033323684945118170e-01 2.175713228253798315e-01 3.240228878347905720e+03 4.024443364210699770e+01
-9.020121439024931798e-01 2.203846612492574297e-01 3.236352475255814170e+03 4.022034606549161850e+01
-9.006834292286468591e-01 2.232117924372353235e-01 3.232449333336221571e+03 4.019607775228961799e+01
-8.993462369793414624e-01 2.260526072730937863e-01 3.228519451191029020e+03 4.017162836624269318e+01
-8.980005797407397683e-01 2.289069961121162899e-01 3.224562827364963141e+03 4.014699756747049975e+01
-8.966464701786801550e-01 2.317748487853246164e-01 3.220579460344557901e+03 4.012218501243767577e+01
-8.952839210385574731e-01 2.346560546037313455e-01 3.216569348556850855e+03 4.009719035391913877e+01
-8.939129451452032527e-01 2.375505023626174605e-01 3.212532490368335402e+03 4.007201324096618578e+01
-8.925335554027645779e-01 2.404580803458251925e-01 3.208468884083668854e+03 4.004665331887090929e+01
-8.911457647945831839e-01 2.433786763300750389e-01 3.204378527944566486e+03 4.002111022913136651e+01
-8.897495863830727769e-01 2.463121775893005183e-01 3.200261420128580085e+03 3.999538360941537007e+01
-8.883450333095962437e-01 2.492584708990035203e-01 3.196117558747801013e+03 3.996947309352353273e+01
-8.869321187943420837e-01 2.522174425406287224e-01 3.191946941847707876e+03 3.994337831135285910e+01
-8.855108561361998420e-01 2.551889783059591577e-01 3.187749567405850485e+03 3.991709888885871749e+01
-8.840812587126349875e-01 2.581729635015275748e-01 3.183525433330582473e+03 3.989063444801665526e+01
-8.826433399795627910e-01 2.611692829530521953e-01 3.179274537459825751e+03 3.986398460678403666e+01
-8.811971134712219822e-01 2.641778210098854052e-01 3.174996877559710811e+03 3.983714897906043717e+01
-8.797425928000474071e-01 2.671984615494872317e-01 3.170692451323250680e+03 3.981012717464773942e+01
-8.782797916565414642e-01 2.702310879819125322e-01 3.166361256369073089e+03 3.978291879921001595e+01
-8.768087238091456515e-01 2.732755832543196650e-01 3.162003290239957096e+03 3.975552345423184875e+01
-8.753294031041107814e-01 2.763318298554964247e-01 3.157618550401614357e+03 3.972794073697764361e+01
-8.738418434653667521e-01 2.793997098204050178e-01 3.153207034241169822e+03 3.970017024044841492e+01
-8.723460588943914296e-01 2.824791047347435247e-01 3.148768739065769296e+03 3.967221155333901095e+01
-8.708420634700788643e-01 2.855698957395265691e-01 3.144303662101286591e+03 3.964406425999537475e+01
-8.693298713486067308e-01 2.886719635356828628e-01 3.139811800490685982e+03 3.961572794036912626e+01
-8.678094967633032120e-01 2.917851883886711239e-01 3.135293151292796210e+03 3.958720216997404151e+01
-8.662809540245129947e-01 2.949094501331119278e-01 3.130747711480602902e+03 3.955848651983921371e+01
-8.647442575194623782e-01 2.980446281774387640e-01 3.126175477939946177e+03 3.952958055646396929e+01
-8.631994217121241597e-01 3.011906015085635269e-01 3.121576447467859907e+03 3.950048384176996308e+01
-8.616464611430812992e-01 3.043472486965614898e-01 3.116950616771177920e+03 3.947119593305464491e+01
-8.600853904293901397e-01 3.075144478993713237e-01 3.112297982464895085e+03 3.944171638294216109e+01
-8.585162242644427399e-01 3.106920768675116573e-01 3.107618541070603442e+03 3.941204473933446195e+01
-8.569389774178286512e-01 3.138800129488142909e-01 3.102912289014957878e+03 3.938218054536187651e+01
-8.553536647351959177e-01 3.170781330931743414e-01 3.098179222628011757e+03 3.935212333933208129e+01
-8.537603011381112994e-01 3.202863138573144308e-01 3.093419338141635308e+03 3.932187265467933912e+01
-8.521589016239197178e-01 3.235044314095667506e-01 3.088632631687846697e+03 3.929142801991196876e+01
-8.505494812656033687e-01 3.267323615346696686e-01 3.083819099297119010e+03 3.926078895855965101e+01
-8.489320552116396135e-01 3.299699796385796025e-01 3.078978736896758164e+03 3.922995498911996748e+01
-8.473066386858583154e-01 3.332171607532983804e-01 3.074111540309114844e+03 3.919892562500354671e+01
-8.456732469872989544e-01 3.364737795417173105e-01 3.069217505249924216e+03 3.916770037447901132e+01
-8.440318954900664083e-01 3.397397103024726306e-01 3.064296627326516045e+03 3.913627874061685930e+01
-8.423825996431858476e-01 3.430148269748198309e-01 3.059348902036022537e+03 3.910466022123208774e+01
-8.407253749704579615e-01 3.462990031435189686e-01 3.054374324763622553e+03 3.907284430882669568e+01
-8.390602370703126311e-01 3.495921120437371910e-01 3.049372890780709895e+03 3.904083049053075882e+01
-8.373872016156618248e-01 3.528940265659632480e-01 3.044344595243040203e+03 3.900861824804255917e+01
-8.357062843537524932e-01 3.562046192609386597e-01 3.039289433188861949e+03 3.897620705756821735e+01
-8.340175011060180221e-01 3.595237623445988739e-01 3.034207399537043329e+03 3.894359638975993221e+01
-8.323208677679295731e-01 3.628513277030333550e-01 3.029098489085163692e+03 3.891078570965359518e+01
-8.306164003088462033e-01 3.661871868974536093e-01 3.023962696507574492e+03 3.887777447660536723e+01
-8.289041147718648750e-01 3.695312111691789747e-01 3.018800016353410683e+03 3.884456214422691289e+01
-8.271840272736690203e-01 3.728832714446327357e-01 3.013610443044649855e+03 3.881114816032020087e+01
-8.254561540043774404e-01 3.762432383403542246e-01 3.008393970874039042e+03 3.877753196681061354e+01
-8.237205112273913166e-01 3.796109821680188068e-01 3.003150594003165679e+03 3.874371299968012750e+01
-8.219771152792415547e-01 3.829863729394765715e-01 2.997880306460275733e+03 3.870969068889775855e+01
-8.202259825694345752e-01 3.863692803717985180e-01 2.992583102138234153e+03 3.867546445835031221e+01
-8.184671295802986579e-01 3.897595738923378961e-01 2.987258974792478966e+03 3.864103372577190498e+01
-8.167005728668277342e-01 3.931571226438017042e-01 2.981907918038737080e+03 3.860639790267111948e+01
-8.149263290565265105e-01 3.965617954893369546e-01 2.976529925350998838e+03 3.857155639425897675e+01
-8.131444148492534829e-01 3.999734610176238214e-01 2.971124990059231095e+03 3.853650859937386031e+01
-8.113548470170637295e-01 4.033919875479864969e-01 2.965693105347200799e+03 3.850125391040660361e+01
-8.095576424040512586e-01 4.068172431355097651e-01 2.960234264250163960e+03 3.846579171322333934e+01
-8.077528179261902475e-01 4.102490955761702307e-01 2.954748459652684232e+03 3.843012138708831316e+01
-8.059403905711762794e-01 4.136874124119779839e-01 2.949235684286204105e+03 3.839424230458394760e+01
-8.041203773982656955e-01 4.171320609361272025e-01 2.943695930726804363e+03 3.835815383153109082e+01
-8.022927955381157217e-01 4.205829081981597994e-01 2.938129191392784833e+03 3.832185532690703411e+01
-8.004576621926227098e-01 4.240398210091391729e-01 2.932535458542250581e+03 3.828534614276232872e+01
-7.986149946347608219e-01 4.275026659468319501e-01 2.926914724270737679e+03 3.824862562413672862e+01
-7.967648102084187167e-01 4.309713093609022216e-01 2.921266980508705274e+03 3.821169310897324323e+01
-7.949071263282369015e-01 4.344456173781159336e-01 2.915592219019054937e+03 3.817454792803089703e+01
-7.930419604794436417e-01 4.379254559075521636e-01 2.909890431394579991e+03 3.813718940479608221e+01
-7.911693302176900922e-01 4.414106906458274970e-01 2.904161609055431200e+03 3.809961685539260401e+01
-7.892892531688856517e-01 4.449011870823265102e-01 2.898405743246562906e+03 3.806182958849041142e+01
-7.874017470290313181e-01 4.483968105044441321e-01 2.892622825035025016e+03 3.802382690521184827e+01
-7.855068295640539322e-01 4.518974260028353340e-01 2.886812845307349107e+03 3.798560809903766966e+01
-7.836045186096382009e-01 4.554028984766742560e-01 2.880975794766858598e+03 3.794717245571045083e+01
-7.816948320710593867e-01 4.589130926389218268e-01 2.875111663930917530e+03 3.790851925313701543e+01
-7.797777879230144427e-01 4.624278730216013211e-01 2.869220443128187071e+03 3.786964776128890264e+01
-7.778534042094530365e-01 4.659471039810845205e-01 2.863302122495780168e+03 3.783055724210114334e+01
-7.759216990434075756e-01 4.694706497033814818e-01 2.857356691976507591e+03 3.779124694936984241e+01
-7.739826906068227874e-01 4.729983742094432397e-01 2.851384141315908892e+03 3.775171612864713211e+01
-7.720363971503844125e-01 4.765301413604676739e-01 2.845384460059382036e+03 3.771196401713510227e+01
-7.700828369933478967e-01 4.800658148632178657e-01 2.839357637549259834e+03 3.767198984357781910e+01
-7.681220285233653078e-01 4.836052582753416207e-01 2.833303662921751766e+03 3.763179282815100635e+01
-7.661539901963128063e-01 4.871483350107050914e-01 2.827222525103953103e+03 3.759137218235025557e+01
-7.641787405361166741e-01 4.906949083447267324e-01 2.821114212810805384e+03 3.755072710887770882e+01
-7.621962981345788979e-01 4.942448414197236350e-01 2.814978714541928639e+03 3.750985680152571433e+01
-7.602066816512023095e-01 4.977979972502603601e-01 2.808816018578469539e+03 3.746876044505924597e+01
-7.582099098130151704e-01 5.013542387285067070e-01 2.802626112979975915e+03 3.742743721509648225e+01
-7.562060014143944242e-01 5.049134286296003138e-01 2.796408985581084835e+03 3.738588627798656461e+01
-7.541949753168890602e-01 5.084754296170169718e-01 2.790164623988277981e+03 3.734410679068572847e+01
-7.521768504490425888e-01 5.120401042479444387e-01 2.783893015576554717e+03 3.730209790063123876e+01
-7.501516458062149617e-01 5.156073149786652987e-01 2.777594147486069687e+03 3.725985874561302325e+01
-7.481193804504034928e-01 5.191769241699404347e-01 2.771268006618694926e+03 3.721738845364284742e+01
-7.460800735100636683e-01 5.227487940924037124e-01 2.764914579634604706e+03 3.717468614282174855e+01
-7.440337441799291796e-01 5.263227869319572205e-01 2.758533852948706681e+03 3.713175092120426513e+01
-7.419804117208309568e-01 5.298987647951736157e-01 2.752125812727163975e+03 3.708858188666132349e+01
-7.399200954595160917e-01 5.334765897147026870e-01 2.745690444883746750e+03 3.704517812673972088e+01
-7.378528147884659827e-01 5.370561236546839146e-01 2.739227735076167846e+03 3.700153871851930631e+01
-7.357785891657134814e-01 5.406372285161601399e-01 2.732737668702437077e+03 3.695766272846835676e+01
-7.336974381146602608e-01 5.442197661424994504e-01 2.726220230897099555e+03 3.691354921229534369e+01
-7.316093812238925187e-01 5.478035983248188412e-01 2.719675406527396717e+03 3.686919721479841172e+01
-7.295144381469969019e-01 5.513885868074119845e-01 2.713103180189445084e+03 3.682460576971221400e+01
-7.274126286023757659e-01 5.549745932931811065e-01 2.706503536204351349e+03 3.677977389955213283e+01
-7.253039723730606569e-01 5.585614794490737500e-01 2.699876458614230160e+03 3.673470061545508969e+01
-7.231884893065273490e-01 5.621491069115188699e-01 2.693221931178175510e+03 3.668938491701775462e+01
-7.210661993145079940e-01 5.657373372918719223e-01 2.686539937368262599e+03 3.664382579213217639e+01
-7.189371223728043825e-01 5.693260321818569558e-01 2.679830460365351883e+03 3.659802221681763967e+01
-7.168012785210994275e-01 5.729150531590179174e-01 2.673093483054945864e+03 3.655197315504969424e+01
-7.146586878627689821e-01 5.765042617921651846e-01 2.666328988022974045e+03 3.650567755858651253e+01
-7.125093705646922126e-01 5.800935196468326449e-01 2.659536957551468731e+03 3.645913436679119002e+01
-7.103533468570623066e-01 5.836826882907295566e-01 2.652717373614224016e+03 3.641234250645122472e+01
-7.081906370331952916e-01 5.872716292992019582e-01 2.645870217872387002e+03 3.636530089159437296e+01
-7.060212614493397432e-01 5.908602042606887483e-01 2.638995471669981725e+03 3.631800842330139290e+01
-7.038452405244849386e-01 5.944482747821849822e-01 2.632093116029371686e+03 3.627046398951475936e+01
-7.016625947401684549e-01 5.980357024947043909e-01 2.625163131646682359e+03 3.622266646484410302e+01
-6.994733446402837673e-01 6.016223490587448985e-01 2.618205498887106387e+03 3.617461471036772025e+01
-6.972775108308865155e-01 6.052080761697531397e-01 2.611220197780218314e+03 3.612630757343059429e+01
-6.950751139800007694e-01 6.087927455635923080e-01 2.604207208015134256e+03 3.607774388743796834e+01
-6.928661748174246293e-01 6.123762190220095603e-01 2.597166508935716138e+03 3.602892247164573547e+01
-6.906507141345346046e-01 6.159583583781063076e-01 2.590098079535564466e+03 3.597984213094581207e+01
-6.884287527840904364e-01 6.195390255218058417e-01 2.583001898453120248e+03 3.593050165564852705e+01
-6.862003116800385882e-01 6.231180824053244027e-01 2.575877943966514522e+03 3.588089982125946165e+01
-6.839654117973154035e-01 6.266953910486410262e-01 2.568726193988511113e+03 3.583103538825324108e+01
-6.817240741716497077e-01 6.302708135449686111e-01 2.561546626061186544e+03 3.578090710184125101e+01
-6.794763198993649667e-01 6.338442120662235446e-01 2.554339217350805484e+03 3.573051369173697367e+01
-6.772221701371803348e-01 6.374154488684967701e-01 2.547103944642331498e+03 3.567985387191440338e+01
-6.749616461020119251e-01 6.409843862975225237e-01 2.539840784334059663e+03 3.562892634036325035e+01
-6.726947690707728578e-01 6.445508867941500686e-01 2.532549712432111846e+03 3.557772977883856669e+01
-6.704215603801730872e-01 6.481148128998095448e-01 2.525230704544836499e+03 3.552626285260553374e+01
-6.681420414265184515e-01 6.516760272619825933e-01 2.517883735877151594e+03 3.547452421017900548e+01
-6.658562336655096114e-01 6.552343926396686502e-01 2.510508781224808899e+03 3.542251248305807820e+01
-6.635641586120397672e-01 6.587897719088504633e-01 2.503105814968541836e+03 3.537022628545471292e+01
-6.612658378399921544e-01 6.623420280679588323e-01 2.495674811068227427e+03 3.531766421401781741e+01
-6.589612929820373166e-01 6.658910242433369042e-01 2.488215743056830433e+03 3.526482484755049285e+01
-6.566505457294289361e-01 6.694366236947011384e-01 2.480728584034359301e+03 3.521170674672246292e+01
-6.543336178318004404e-01 6.729786898206020496e-01 2.473213306661687056e+03 3.515830845377583103e+01
-6.520105310969595003e-01 6.765170861638816202e-01 2.465669883154343097e+03 3.510462849222552961e+01
-6.496813073906830827e-01 6.800516764171302686e-01 2.458098285276152637e+03 3.505066536655296972e+01
-6.473459686365120591e-01 6.835823244281413746e-01 2.450498484332796124e+03 3.499641756189337372e+01
